選手名,球速,コントロール,スタミナ,総変化量,スライダー系,カーブ系,フォーク系,シンカー系,シュート系,球団,背番号
中　崎,149,37,52,5,0,0,1,0,4,広島,56
武　内,149,32,44,2,0,0,2,0,0,広島,54
バリントン,149,76,63,7,0,0,3,0,4,広島,42
弦　本,148,15,42,3,0,0,2,0,1,広島,69
今　井,147,35,68,6,0,0,2,1,3,広島,62
野　村,147,69,65,6,0,0,3,0,3,広島,19
久　本,147,41,50,4,1,1,2,0,0,広島,65
梅　津,147,51,49,4,1,1,0,0,2,広島,39
小　野,146,39,51,4,0,0,1,0,3,広島,47
齋　藤,146,52,59,3,1,1,1,0,0,広島,21
江　草,146,38,57,3,1,0,2,0,0,広島,29
岩　見,146,25,51,3,1,0,2,0,0,広島,28
岸　本,146,13,54,4,0,0,3,0,1,広島,48
横　山,146,66,39,5,0,0,2,1,2,広島,23
永　川,145,34,35,3,0,0,1,1,1,広島,20
菊地原,145,15,47,3,2,0,0,0,1,広島,36
上　野,145,50,49,4,2,0,0,1,1,広島,12
戸　田,145,39,45,3,2,0,1,0,0,広島,53
篠　田,145,49,68,3,1,2,0,0,0,広島,14
伊　東,144,55,52,3,1,2,0,0,0,広島,67
大　島,141,50,57,3,0,2,1,0,0,広島,46
河　内,137,54,29,7,5,0,2,0,0,広島,24
田　島,153,40,57,5,0,0,2,0,3,中日,45
カブレラ,152,47,60,4,0,0,1,3,0,中日,70
伊藤準,152,39,48,4,0,0,2,2,0,中日,18
福　谷,152,36,37,3,0,0,1,0,2,中日,24
浅　尾,151,49,52,4,0,0,2,0,2,中日,41
中田賢,150,48,68,7,0,0,3,0,4,中日,20
大　野,150,53,53,5,3,0,2,0,0,中日,22
山　井,150,60,61,6,2,0,1,3,0,中日,29
武　藤,150,45,51,5,1,0,1,0,3,中日,25
高橋聡,150,46,48,5,3,0,2,0,0,中日,67
マドリガル,150,32,52,4,0,0,2,0,2,中日,65
関,148,36,36,3,0,0,2,0,1,中日,62
矢　地,147,39,47,3,0,0,0,1,2,中日,59
岡　田,147,47,56,6,3,0,3,0,0,中日,21
ブラッドリー,147,52,55,3,0,0,1,0,2,中日,42
吉　見,147,64,71,5,1,0,2,0,2,中日,19
小　熊,146,46,44,5,0,0,0,2,3,中日,64
濱　田,146,31,35,3,1,2,0,0,0,中日,43
清　水,146,38,46,3,0,0,2,0,1,中日,12
川　上,146,44,46,3,1,0,0,1,1,中日,11
朝　倉,146,39,55,4,2,0,1,0,1,中日,14
井　上,145,38,41,4,0,0,0,2,2,中日,49
三　瀬,145,51,37,3,2,0,0,0,1,中日,39
岩　田,145,43,59,3,0,0,0,2,1,中日,28
岩　瀬,145,71,39,7,5,0,0,0,2,中日,13
山　内,144,39,63,4,2,0,1,0,1,中日,26
辻,144,45,50,4,0,0,1,0,3,中日,35
鈴　木,144,47,50,5,2,0,0,0,3,中日,23
小　川,144,37,45,3,1,2,0,0,0,中日,16
雄　太,144,42,56,4,1,1,0,2,0,中日,17
西　川,144,43,50,4,0,0,2,0,2,中日,32
若　松,143,32,30,3,0,0,1,0,2,中日,61
川　崎,143,35,30,3,0,0,1,0,2,中日,51
山本昌,138,61,54,6,2,1,0,3,0,中日,34
小林正,135,50,25,5,3,0,0,0,2,中日,69
ソーサ,157,55,54,5,0,0,1,0,4,DeNA,53
山　口,156,49,45,5,0,0,2,0,3,DeNA,11
三　嶋,155,50,70,5,0,0,2,0,3,DeNA,17
国　吉,154,42,64,4,0,0,2,0,2,DeNA,65
北　方,153,33,44,1,0,0,0,0,1,DeNA,28
冨　田,152,39,45,2,0,0,1,0,1,DeNA,68
藤　江,151,66,55,5,0,0,4,0,1,DeNA,19
高　崎,151,45,69,5,0,0,2,0,3,DeNA,22
井　納,150,43,56,4,0,0,2,0,2,DeNA,15
コーコラン,150,45,57,4,2,0,0,0,2,DeNA,56
加賀美,149,54,63,3,0,0,2,0,1,DeNA,21
安　部,148,43,47,3,0,0,1,0,2,DeNA,43
小林太,148,47,62,4,2,0,0,0,2,DeNA,14
菊　地,148,48,54,4,0,0,3,0,1,DeNA,30
林,148,58,54,5,2,0,3,0,0,DeNA,24
大　田,148,64,52,5,0,0,2,0,3,DeNA,58
小　杉,147,49,67,4,2,0,0,0,2,DeNA,54
吉　川,147,43,61,4,2,0,0,0,2,DeNA,13
長　田,147,65,38,5,0,0,2,0,3,DeNA,64
ソ　ト,147,39,59,4,3,0,1,0,0,DeNA,61
神　内,147,35,55,4,0,3,1,0,0,DeNA,38
福　田,147,44,55,4,0,0,2,0,2,DeNA,49
安　斉,147,39,56,3,0,0,0,2,1,DeNA,48
鄭,146,46,56,4,2,0,0,0,2,DeNA,62
牛　田,146,48,49,4,0,0,2,2,0,DeNA,35
小林寛,146,49,62,4,0,0,2,0,2,DeNA,12
三　浦,146,72,73,7,2,0,2,0,3,DeNA,18
須　田,145,65,68,6,1,1,0,0,4,DeNA,20
加　賀,145,62,57,5,0,2,0,0,3,DeNA,16
大　原,145,61,50,6,3,0,1,0,2,DeNA,41
田　中,144,43,56,3,2,0,1,0,0,DeNA,46
伊　藤,144,43,43,3,0,0,1,0,2,DeNA,67
佐　藤,143,45,54,4,2,0,0,0,2,DeNA,60
篠　原,142,48,35,3,2,0,0,0,1,DeNA,34
土　屋,142,43,62,3,1,0,2,0,0,DeNA,45
藤　井,141,53,69,6,3,1,2,0,0,DeNA,00
眞　下,138,39,58,3,0,2,1,0,0,DeNA,47
