選手名,弾道,ミート,パワー,走力,肩力,守備力,捕球,球団,背番号
清　水,1,26,25,39,50,33,56,阪神,45
葛　城,3,26,36,46,62,59,57,阪神,33
原　口,1,22,21,51,64,45,44,阪神,52
橋　本,2,22,41,37,56,40,45,阪神,38
森　田,2,22,48,41,35,51,37,阪神,69
荒　木,1,21,35,71,49,55,44,阪神,58
小宮山,2,20,28,33,56,52,52,阪神,39
田　上,1,13,25,76,44,52,52,阪神,61
小笠原,4,65,82,33,56,52,39,巨人,2
ラミレス,3,65,91,39,44,20,24,巨人,5
長　野,3,57,63,65,73,52,51,巨人,7
松　本,2,56,28,85,58,72,75,巨人,32
坂　本,4,55,71,69,65,67,26,巨人,6
阿　部,4,52,89,33,74,52,54,巨人,10
矢　野,3,52,42,65,59,52,55,巨人,48
高橋由,4,49,61,46,62,52,42,巨人,24
脇　谷,2,48,41,82,50,52,65,巨人,23
ライアル,3,48,62,49,51,50,47,巨人,33
鈴　木,2,46,32,91,56,59,71,巨人,12
谷,3,41,45,52,56,46,48,巨人,8
亀　井,3,39,53,72,81,78,56,巨人,9
鶴　岡,2,34,38,46,62,56,57,巨人,43
高橋信,3,33,44,46,50,39,44,巨人,31
紺　田,2,33,32,78,68,46,57,巨人,44
円　谷,2,33,29,59,44,46,58,巨人,52
工　藤,1,33,31,78,63,46,57,巨人,0
田中大,2,32,39,46,60,46,46,巨人,66
隠　善,2,31,32,65,56,52,54,巨人,69
古　城,2,31,42,59,50,52,33,巨人,51
藤　村,1,30,31,69,44,41,37,巨人,54
加　藤,1,29,37,39,56,46,57,巨人,40
加治前,3,28,44,52,50,52,51,巨人,50
橋　本,2,28,34,61,61,33,38,巨人,65
實　松,3,27,31,39,68,46,38,巨人,53
中　井,2,26,37,50,59,39,39,巨人,61
寺　内,1,26,31,65,68,59,58,巨人,00
大　田,3,24,53,57,60,26,33,巨人,55
仲　澤,1,24,38,62,70,46,42,巨人,56
市　川,2,20,32,52,62,46,46,巨人,27
鬼屋敷,1,15,36,58,65,29,21,巨人,64
廣　瀬,3,63,51,52,85,85,75,広島,26
梵,3,60,52,86,62,78,80,広島,6
栗　原,3,59,62,39,56,45,59,広島,5
木　村,2,54,38,72,56,65,54,広島,66
石井琢,2,54,33,52,49,78,54,広島,25
赤　松,3,52,45,88,70,78,52,広島,38
石　原,3,49,53,52,62,52,52,広島,31
東　出,1,46,35,78,62,68,46,広島,2
丸,3,43,48,65,62,33,27,広島,63
嶋,3,42,63,35,56,39,53,広島,55
倉,2,40,35,39,68,59,41,広島,40
末　永,2,39,40,65,56,46,36,広島,51
會　澤,2,38,42,52,68,33,35,広島,64
前　田,3,37,50,26,39,33,44,広島,1
トレーシー,3,37,67,43,47,42,36,広島,43
天　谷,2,35,45,78,62,59,25,広島,49
岩　本,4,33,65,46,56,39,47,広島,10
小　窪,2,31,38,59,50,52,37,広島,4
井　生,2,31,36,52,44,52,53,広島,0
鈴　木,2,31,25,59,56,52,52,広島,50
上　村,2,31,23,59,56,39,44,広島,27
磯　村,2,30,34,41,48,35,28,広島,61
山　本,3,30,34,59,56,52,42,広島,59
安　部,2,30,33,60,56,37,40,広島,60
堂　林,3,29,38,59,55,33,26,広島,13
中　東,2,29,29,65,62,52,44,広島,00
松　本,1,26,20,72,50,46,37,広島,45
松　山,3,26,40,39,62,33,48,広島,37
申成鉉,2,20,27,45,56,30,28,広島,68
庄　司,2,20,30,52,62,51,52,広島,52
迎,2,20,40,52,56,50,52,広島,44
白　濱,2,18,21,33,62,51,50,広島,32
和　田,3,86,83,39,58,45,74,中日,5
森　野,3,74,66,52,59,52,33,中日,30
荒　木,2,59,37,86,56,79,26,中日,2
井　端,2,44,38,71,66,81,72,中日,6
堂上直,3,41,43,46,56,63,74,中日,1
大　島,2,37,30,72,64,59,76,中日,8
ブランコ,4,35,80,42,43,31,13,中日,42
谷　繁,3,33,50,28,65,65,39,中日,27
グスマン,4,32,68,48,52,36,35,中日,45
堂上剛,3,31,41,47,61,42,44,中日,63
藤　井,3,30,37,74,72,61,39,中日,4
松井佑,3,29,33,51,62,39,46,中日,56
カラスコ,4,27,59,44,50,34,31,中日,48
吉　川,3,27,42,48,53,42,41,中日,3
英　智,2,27,35,78,86,79,65,中日,24
野　本,3,26,47,57,56,52,70,中日,9
小　山,2,26,33,54,66,46,36,中日,65
佐　伯,3,25,46,45,51,39,38,中日,7
小　田,2,24,31,34,63,59,47,中日,52
小　池,3,23,35,58,63,66,58,中日,44
中　村,2,21,27,59,51,48,49,中日,51
中　川,2,20,30,53,51,38,46,中日,31
福　田,2,20,38,45,53,39,43,中日,55
前　田,2,19,25,40,62,40,44,中日,38
森　越,2,18,24,47,51,39,35,中日,54
中田亮,3,17,33,50,42,47,45,中日,50
田　中,2,15,29,39,59,36,41,中日,58
平　田,3,15,40,51,59,40,51,中日,40
吉　田,2,14,24,45,54,32,36,中日,57
谷,2,14,27,63,56,47,43,中日,36
水　田,1,13,32,61,56,52,50,中日,32
柳　田,2,13,23,47,50,41,48,中日,53
松井雅,2,13,27,39,55,35,38,中日,47
石　川,2,59,34,85,44,46,65,DeNA,7
ハーパー,4,59,75,33,56,46,47,DeNA,42
藤　田,2,59,38,65,44,65,59,DeNA,23
下　園,2,52,45,52,50,46,47,DeNA,50
渡辺直,2,50,34,78,44,70,52,DeNA,2
松　本,2,46,35,61,61,52,46,DeNA,6
森　本,2,46,36,78,75,72,66,DeNA,5
スレッジ,3,45,79,46,44,46,60,DeNA,3
吉　村,4,40,56,65,63,52,52,DeNA,31
新　沼,2,39,30,39,50,39,48,DeNA,29
稲　田,1,39,27,59,50,59,59,DeNA,00
荒　波,2,35,30,59,53,49,49,DeNA,4
大原淳,2,35,34,51,45,50,46,DeNA,51
喜田剛,3,33,40,39,56,33,52,DeNA,55
村　田,4,33,70,36,56,39,33,DeNA,25
橋　本,3,33,40,39,44,46,53,DeNA,33
一　輝,2,30,33,52,56,46,52,DeNA,9
高　森,2,29,25,46,50,46,46,DeNA,62
金　城,2,26,45,52,74,65,47,DeNA,1
桑　原,2,26,27,52,44,39,52,DeNA,40
北,2,26,28,46,62,39,39,DeNA,43
筒　香,3,26,55,39,50,46,46,DeNA,8
武　山,3,21,38,31,44,46,59,DeNA,61
早　川,2,21,38,65,44,59,46,DeNA,37
井　手,2,20,31,46,62,52,53,DeNA,26
梶　谷,2,20,26,59,50,39,46,DeNA,63
黒羽根,1,20,19,52,56,39,51,DeNA,59
山　崎,2,20,27,52,44,52,46,DeNA,0
内　藤,3,20,38,39,56,33,51,DeNA,39
細山田,2,13,29,46,58,39,48,DeNA,36
