選手名,弾道,ミート,パワー,走力,肩力,守備力,捕球,球団,背番号
バティスタ,4,46,81,53,69,35,29,広島,95
磯　村,2,45,50,45,56,45,41,広島,40
岩　本,4,44,60,40,54,40,41,広島,10
メヒア,3,41,60,55,64,43,48,広島,96
美　間,3,39,49,49,77,20,30,広島,59
坂　倉,2,39,44,71,69,34,43,広島,61
小　窪,2,39,49,49,49,48,43,広島,4
堂　林,3,37,54,56,70,46,45,広島,7
石　原,2,35,41,43,68,60,85,広島,31
庄　司,2,34,42,52,64,55,42,広島,52
土　生,3,34,44,58,69,52,50,広島,43
中村奨,3,32,55,61,84,41,38,広島,22
上　本,2,32,39,62,60,60,70,広島,0
野　間,3,31,45,85,90,67,67,広島,37
白　濱,2,30,40,36,60,42,54,広島,32
赤　松,2,29,46,61,57,59,72,広島,38
下水流,3,29,55,68,75,63,54,広島,35
永井敦,3,28,47,66,69,41,39,広島,60
天　谷,2,25,55,84,44,51,64,広島,49
青　木,3,24,51,44,63,20,20,広島,69
船　越,1,16,40,50,73,42,45,広島,54
大　島,2,70,49,87,58,72,68,中日,8
京　田,2,65,52,85,60,70,59,中日,51
福　田,3,60,71,50,67,45,45,中日,55
亀　澤,2,57,45,69,55,61,50,中日,53
藤　井,3,57,56,70,80,48,46,中日,4
荒　木,2,50,42,69,56,79,74,中日,2
ビシエド,3,45,81,52,76,45,45,中日,66
高　橋,3,43,55,50,60,55,42,中日,3
平　田,3,42,60,66,72,70,71,中日,6
工　藤,2,39,39,78,52,64,46,中日,62
アルモンテ,3,39,70,58,64,41,40,中日,42
松井佑,3,35,56,55,79,45,43,中日,56
友　永,2,34,39,79,74,48,48,中日,1
杉　山,2,33,41,63,68,52,43,中日,45
松井雅,2,33,41,57,74,54,55,中日,38
阿　部,2,32,35,55,71,45,52,中日,5
遠　藤,3,32,52,75,59,45,45,中日,23
石川駿,3,32,49,62,50,44,44,中日,9
大野奨,2,31,46,46,76,72,72,中日,27
近　藤,2,31,48,62,81,48,50,中日,67
武　山,3,30,45,54,68,52,50,中日,39
堂　上,3,30,49,60,73,78,66,中日,63
井　領,3,30,42,62,66,56,45,中日,26
谷,2,28,55,67,63,48,50,中日,58
野　本,3,26,48,56,53,55,51,中日,31
木　下,3,26,41,45,78,57,58,中日,35
桂,3,25,55,47,83,52,44,中日,68
石　岡,3,25,33,76,57,40,40,中日,36
モ　ヤ,3,25,83,60,75,38,41,中日,44
三ツ俣,3,23,42,50,70,52,42,中日,37
伊藤康,2,22,40,74,60,40,41,中日,49
石　垣,3,21,46,72,55,48,34,中日,32
溝　脇,2,19,40,67,52,48,46,中日,48
加　藤,2,19,38,60,77,32,40,中日,52
ロペス,3,68,82,49,66,62,73,DeNA,2
筒　香,4,60,80,58,60,56,50,DeNA,25
大　和,1,57,38,79,74,84,90,DeNA,9
桑　原,3,51,60,82,62,70,52,DeNA,1
ソ　ト,3,50,62,42,63,40,36,DeNA,99
梶　谷,3,47,70,82,63,66,57,DeNA,3
楠　本,2,45,45,60,52,43,41,DeNA,37
倉　本,2,43,43,59,61,43,69,DeNA,5
柴　田,2,41,40,58,50,68,70,DeNA,31
石　川,2,39,49,70,48,62,46,DeNA,7
関　根,2,39,49,77,67,54,40,DeNA,63
神　里,2,38,51,70,62,44,42,DeNA,8
嶺　井,3,37,48,51,62,50,44,DeNA,39
戸　柱,3,35,56,50,55,61,60,DeNA,10
荒　波,2,35,46,74,67,58,54,DeNA,4
中　川,3,31,60,40,60,38,32,DeNA,61
飛雄馬,2,30,43,51,61,59,38,DeNA,40
白　崎,3,30,53,55,61,59,45,DeNA,6
山　下,2,28,46,62,75,46,43,DeNA,38
Ｇ後藤武敏,3,25,61,31,39,35,30,DeNA,55
乙　坂,3,25,51,68,60,52,42,DeNA,33
西　森,2,25,37,61,61,49,48,DeNA,66
狩　野,3,24,50,74,71,45,41,DeNA,36
大　河,2,23,42,75,66,40,40,DeNA,23
田中浩,2,23,43,67,51,61,66,DeNA,67
宮　本,2,23,42,63,63,45,45,DeNA,00
白　根,3,23,51,35,61,40,42,DeNA,60
佐　野,3,22,59,53,68,38,33,DeNA,44
細　川,4,21,69,60,69,29,34,DeNA,52
山　本,2,19,35,50,74,41,38,DeNA,50
青　柳,2,16,42,65,63,40,30,DeNA,57
百　瀬,1,14,21,78,57,36,29,DeNA,64
