選手名,弾道,ミート,パワー,走力,肩力,守備力,捕球,球団,背番号
井藤真,3,29,45,47,50,44,45,中日,46
杉　山,3,29,41,54,62,38,34,中日,33
小　田,3,28,44,28,65,50,65,中日,52
吉　川,3,27,43,66,59,43,46,中日,3
森　越,3,26,38,63,61,40,41,中日,54
溝　脇,2,25,36,64,49,42,43,中日,48
赤　田,3,23,45,40,65,36,45,中日,68
松井雅,2,23,36,56,68,45,56,中日,47
ブランコ,4,71,94,42,55,34,32,DeNA,42
モーガン,3,63,66,80,53,69,43,DeNA,27
金　城,2,61,57,61,68,75,73,DeNA,1
中　村,3,61,73,38,57,56,62,DeNA,99
後　藤,3,49,60,31,39,35,30,DeNA,55
井　手,3,49,50,55,53,55,41,DeNA,26
山　崎,2,48,52,56,53,58,50,DeNA,0
梶　谷,2,46,49,75,61,50,48,DeNA,63
松　本,2,44,56,70,76,55,50,DeNA,6
白　崎,3,43,48,55,60,47,42,DeNA,29
鶴　岡,2,42,52,46,62,56,57,DeNA,10
石　川,1,41,49,70,48,58,34,DeNA,7
森　本,2,41,48,69,69,71,64,DeNA,5
内　村,1,39,40,86,51,76,58,DeNA,23
筒　香,4,39,61,52,54,45,28,DeNA,25
多　村,3,39,63,51,63,75,69,DeNA,52
荒　波,3,38,48,89,67,71,59,DeNA,4
赤　堀,3,38,50,56,49,44,44,DeNA,31
下　園,3,37,53,53,46,47,45,DeNA,50
小　池,3,35,55,53,58,62,54,DeNA,8
内　藤,3,34,55,54,54,49,40,DeNA,39
飛雄馬,3,34,52,51,61,47,43,DeNA,40
渡　邊,3,34,44,53,58,42,43,DeNA,44
桑　原,2,33,46,70,58,46,43,DeNA,37
乙　坂,2,31,45,68,58,41,42,DeNA,33
嶋　村,2,30,42,51,53,53,55,DeNA,9
西　森,2,28,37,61,59,50,48,DeNA,66
ラミレス,4,27,61,39,42,21,19,DeNA,3
黒羽根,2,26,43,54,76,53,40,DeNA,59
細山田,1,23,40,52,51,54,56,DeNA,36
