選手名,球速,コントロール,スタミナ,総変化量,スライダー系,カーブ系,フォーク系,シンカー系,シュート系,球団,背番号
矢　地,147,50,35,3,0,0,0,2,1,中日,59
長　峰,146,57,42,3,2,0,1,0,0,中日,68
金　剛,146,51,35,3,0,0,2,0,1,中日,0
ソ　ト,146,49,36,4,2,0,2,0,0,中日,70
川　井,146,56,54,4,2,1,1,0,0,中日,17
武　藤,146,37,35,3,0,0,1,0,2,中日,25
岩　田,146,43,50,4,3,0,0,0,1,中日,28
岩　瀬,146,78,36,7,2,0,0,0,5,中日,13
小林正,145,67,29,5,1,0,0,1,3,中日,69
河　原,145,64,30,5,2,2,1,0,0,中日,60
小笠原,145,60,52,4,0,2,0,1,1,中日,43
岡　田,145,54,29,3,2,0,1,0,0,中日,11
三　瀬,144,51,32,4,1,0,0,0,3,中日,39
山本昌,143,69,60,6,2,1,0,3,0,中日,34
小　川,143,34,34,2,0,1,0,1,0,中日,16
山　口,157,55,46,6,3,0,3,0,0,DeNA,11
江　尻,153,59,52,4,3,0,1,0,0,DeNA,27
加賀美,153,40,49,4,0,0,2,0,2,DeNA,21
小林太,152,30,47,3,0,0,1,0,2,DeNA,14
高　崎,151,57,61,5,2,1,2,0,0,DeNA,22
阿斗里,149,49,49,3,2,0,1,0,0,DeNA,58
大　沼,149,33,39,3,1,0,2,0,0,DeNA,13
牛　田,149,40,44,6,0,2,4,0,0,DeNA,35
小　杉,148,30,45,3,0,0,0,2,1,DeNA,54
小林寛,148,43,47,5,0,0,1,2,2,DeNA,12
陳冠宇,148,30,47,3,0,2,1,0,0,DeNA,53
藤　江,148,46,54,3,1,0,2,0,0,DeNA,19
須　田,148,40,55,4,2,2,0,0,0,DeNA,20
大　家,148,65,63,4,2,0,2,0,0,DeNA,44
山　本,147,55,63,3,0,0,1,0,2,DeNA,15
真　田,147,50,47,5,2,0,0,0,3,DeNA,30
清水直,147,64,70,5,3,0,2,0,0,DeNA,17
ハミルトン,146,39,48,4,2,1,1,0,0,DeNA,38
秦,146,36,47,4,0,0,0,3,1,DeNA,28
福　山,146,45,49,4,0,0,0,2,2,DeNA,45
王溢正,146,47,47,3,2,0,1,0,0,DeNA,66
加　賀,145,71,67,6,4,0,0,2,0,DeNA,16
佐　藤,145,40,39,3,0,0,1,2,0,DeNA,60
福　田,145,44,42,4,0,2,2,0,0,DeNA,49
三　浦,144,64,59,5,1,2,2,0,0,DeNA,18
ブランドン,144,38,50,3,2,0,1,0,0,DeNA,52
雄　虎,143,32,45,2,0,0,0,1,1,DeNA,48
大原慎,142,46,42,4,2,0,0,2,0,DeNA,41
杉　原,142,36,39,2,0,0,0,2,0,DeNA,56
篠　原,142,31,33,4,2,0,2,0,0,DeNA,34
眞　下,141,34,54,5,0,0,0,4,1,DeNA,47
田　中,139,41,43,3,0,2,1,0,0,DeNA,46
松　山,16,25,36,2,0,0,0,1,1,DeNA,64
