選手名,弾道,ミート,パワー,走力,肩力,守備力,捕球,球団,背番号
鳥　谷,3,61,54,66,66,50,71,阪神,1
狩　野,3,59,58,54,63,37,32,阪神,99
ゴメス,3,55,77,39,56,22,38,阪神,5
西　岡,2,53,52,70,58,69,44,阪神,7
伊藤隼,3,47,58,68,66,28,26,阪神,51
上　本,2,45,56,75,47,64,35,阪神,4
梅　野,4,42,65,61,78,47,49,阪神,44
俊　介,3,41,41,76,62,60,74,阪神,68
大　和,1,33,38,79,74,84,90,阪神,0
ペレス,3,32,71,60,72,38,31,阪神,95
鶴　岡,2,30,42,45,65,58,46,阪神,40
江　越,3,26,61,84,83,62,57,阪神,25
中　谷,3,22,51,55,76,50,44,阪神,60
森　越,1,22,29,65,65,63,60,阪神,37
柴　田,2,21,41,83,64,40,37,阪神,00
荒　木,2,20,36,85,51,49,52,阪神,58
緒　方,2,19,48,80,79,35,42,阪神,65
新井良,4,18,62,51,53,34,22,阪神,32
板　山,2,18,40,72,70,31,45,阪神,63
陽　川,3,17,55,59,68,30,24,阪神,55
小宮山,2,16,35,58,69,56,23,阪神,39
北　條,3,16,50,64,66,43,23,阪神,2
坂,2,15,44,67,54,57,55,阪神,35
坂　本,2,15,36,53,60,42,48,阪神,12
清　水,2,14,37,52,57,61,55,阪神,45
植　田,2,14,29,82,67,46,40,阪神,62
西　田,2,13,40,58,52,37,26,阪神,33
小豆畑,3,13,39,55,77,41,43,阪神,52
横　田,3,13,52,69,71,30,28,阪神,24
立　岡,2,70,39,70,67,60,45,巨人,58
脇　谷,2,64,43,71,68,58,41,巨人,2
亀　井,3,57,54,72,80,69,59,巨人,9
相　川,3,54,52,47,49,55,58,巨人,23
坂　本,3,51,61,74,76,80,68,巨人,6
堂　上,3,49,58,51,70,45,42,巨人,51
大　田,3,49,60,73,61,64,52,巨人,44
クルーズ,3,47,70,56,82,76,60,巨人,11
阿　部,4,45,70,24,51,62,38,巨人,10
アンダーソン,3,45,62,51,68,43,41,巨人,42
鈴木尚,2,44,35,84,48,59,72,巨人,12
長　野,3,43,66,66,78,55,57,巨人,7
片　岡,3,43,58,72,42,72,51,巨人,8
吉　川,3,43,36,70,63,41,34,巨人,68
ギャレット,3,40,67,35,47,39,38,巨人,5
宇佐見,2,39,42,35,69,45,38,巨人,52
重　信,2,39,35,83,64,50,48,巨人,43
橋本到,2,38,52,72,74,65,48,巨人,32
岡　本,3,38,58,43,49,45,38,巨人,38
寺　内,2,38,35,67,75,67,55,巨人,00
村　田,3,37,65,40,69,52,41,巨人,25
中　井,3,37,57,50,65,45,34,巨人,36
松　本,1,37,25,77,52,77,75,巨人,31
松　崎,3,35,52,54,66,38,42,巨人,69
藤　村,1,34,29,94,44,52,41,巨人,0
加　藤,2,33,41,39,57,46,57,巨人,40
小林誠,2,30,47,56,88,58,51,巨人,22
山　本,3,30,45,67,67,55,49,巨人,56
辻,3,28,42,61,77,39,31,巨人,65
北,3,28,55,66,68,56,52,巨人,66
鬼屋敷,2,28,40,58,77,40,50,巨人,64
實　松,3,25,48,39,70,45,39,巨人,27
和田恋,3,20,48,47,74,40,27,巨人,61
大　累,1,15,26,87,52,48,31,巨人,60
河　野,2,15,40,47,74,42,39,巨人,53
ル　ナ,3,62,57,63,66,50,37,広島,5
田　中,3,62,56,69,58,82,51,広島,2
松　山,3,59,60,50,72,37,29,広島,44
新　井,3,55,56,44,47,53,60,広島,25
菊　池,3,50,57,82,76,97,48,広島,33
プライディ,3,50,63,70,68,59,67,広島,13
土　生,3,48,44,58,69,52,50,広島,43
丸,3,47,70,70,64,65,46,広島,9
鈴　木,3,45,52,70,86,55,39,広島,51
石　原,3,44,51,43,68,60,85,広島,31
安　部,2,44,46,72,66,60,47,広島,60
中　東,2,43,39,71,62,62,49,広島,00
天　谷,2,43,55,84,44,51,64,広島,49
堂　林,3,40,54,56,70,59,45,広島,7
會　澤,3,40,64,44,66,46,41,広島,27
下水流,3,39,55,68,75,63,54,広島,35
磯　村,2,39,47,39,56,39,41,広島,61
美　間,3,39,49,49,77,20,30,広島,59
岩　本,4,38,61,42,54,40,33,広島,10
西　川,2,37,39,69,58,55,51,広島,63
庄　司,2,34,42,52,64,55,42,広島,52
廣　瀬,3,34,52,59,65,78,56,広島,26
野　間,3,34,50,85,83,67,67,広島,37
小　窪,2,34,49,49,49,48,43,広島,4
上　本,3,32,39,62,60,60,70,広島,0
白　濱,2,30,40,36,60,42,54,広島,32
梵,3,29,58,59,60,62,50,広島,6
倉,2,29,48,46,57,40,68,広島,40
エルドレッド,4,27,84,48,71,61,45,広島,55
青　木,3,24,51,44,63,20,20,広島,69
赤　松,2,20,46,91,77,79,72,広島,38
船　越,1,16,40,50,73,42,45,広島,54
中村亘,3,15,53,40,70,35,51,広島,68
多　田,3,10,45,44,72,39,44,広島,64
平　田,3,62,66,55,61,68,71,中日,6
藤　井,3,62,56,75,91,47,46,中日,4
ナニータ,3,62,50,57,56,48,48,中日,60
大　島,2,57,50,87,60,72,70,中日,8
エルナンデス,3,54,60,57,67,52,58,中日,00
森　野,3,54,47,48,62,60,58,中日,7
遠　藤,3,48,52,78,63,48,48,中日,23
亀　澤,1,48,35,81,55,56,50,中日,53
荒　木,2,48,42,71,56,87,74,中日,2
ビシエド,3,44,80,42,55,32,45,中日,66
赤　坂,3,42,51,55,62,42,41,中日,69
井　領,3,37,50,65,66,58,45,中日,26
谷,2,35,44,67,63,48,50,中日,70
福　田,3,34,65,50,67,45,45,中日,55
三ツ俣,3,33,47,50,70,52,42,中日,37
木　下,3,32,47,45,78,43,41,中日,35
阿　部,2,32,33,55,71,50,52,中日,5
高　橋,3,32,59,50,60,47,42,中日,3
工　藤,2,30,36,82,52,68,46,中日,62
松井佑,2,30,48,55,79,43,43,中日,56
溝　脇,2,30,36,67,52,48,46,中日,48
古　本,3,29,47,51,67,41,44,中日,46
野　本,3,26,48,56,53,55,51,中日,31
桂,2,25,50,47,73,38,38,中日,40
堂　上,2,25,45,56,63,60,66,中日,63
友　永,2,23,39,79,74,43,48,中日,1
赤　田,3,22,45,40,68,36,43,中日,68
杉　山,3,21,53,54,68,40,40,中日,45
加　藤,2,19,38,60,77,32,40,中日,39
松井雅,2,18,36,57,74,54,60,中日,38
武　山,3,17,41,54,68,52,50,中日,52
石　岡,3,15,33,76,57,40,40,中日,36
石　川,3,8,50,62,50,42,44,中日,9
筒　香,4,70,79,52,59,50,41,DeNA,25
ロペス,3,68,79,42,66,62,50,DeNA,2
荒　波,2,61,54,84,70,69,54,DeNA,4
下　園,2,56,52,53,46,47,39,DeNA,50
梶　谷,3,53,62,82,68,60,50,DeNA,3
松本啓,3,50,52,70,76,55,53,DeNA,61
井　手,3,45,56,55,53,55,47,DeNA,26
石　川,2,44,53,70,48,60,46,DeNA,7
ロマック,4,41,72,59,66,37,22,DeNA,52
白　崎,3,37,55,55,61,59,45,DeNA,6
後　藤,3,35,67,31,39,35,30,DeNA,55
関　根,2,34,50,77,67,54,40,DeNA,63
乙　坂,3,31,53,68,60,52,42,DeNA,33
飛雄馬,2,30,52,51,61,41,38,DeNA,40
柳　田,3,29,50,53,54,44,40,DeNA,36
白　根,3,29,51,35,61,35,42,DeNA,60
桑　原,2,27,52,70,62,57,52,DeNA,37
山下幸,2,25,46,62,75,50,43,DeNA,38
嶺　井,3,24,54,54,62,50,44,DeNA,39
倉　本,2,23,49,58,61,57,70,DeNA,5
内　村,1,23,40,86,54,75,58,DeNA,23
山　崎,2,21,47,56,56,70,60,DeNA,0
柴　田,2,20,30,58,45,69,68,DeNA,31
西　森,2,20,37,61,61,49,48,DeNA,66
黒羽根,2,19,48,54,80,56,40,DeNA,9
渡邊雄,2,18,44,57,59,42,43,DeNA,44
戸　柱,2,18,42,50,70,53,52,DeNA,10
青　柳,3,16,42,65,63,30,30,DeNA,57
百　瀬,1,14,21,78,57,36,29,DeNA,64
