選手名,弾道,ミート,パワー,走力,肩力,守備力,捕球,球団,背番号
仲　澤,2,25,38,62,70,46,42,巨人,56
福　元,1,24,31,66,51,50,40,巨人,90
高橋洸,1,24,38,61,62,43,37,巨人,67
寺　内,2,23,31,65,68,62,58,巨人,00
鬼屋敷,2,22,36,58,65,29,21,巨人,64
市　川,2,20,32,52,62,46,46,巨人,69
栗　原,3,62,69,49,47,49,54,広島,5
東　出,1,61,39,77,54,58,67,広島,2
廣　瀬,3,59,52,59,73,78,56,広島,26
井　生,2,57,43,68,58,51,53,広島,0
バーデン,3,56,53,49,63,49,60,広島,35
松　山,4,54,58,50,66,36,45,広島,37
木　村,2,53,42,67,61,64,64,広島,66
丸,3,51,56,67,60,62,46,広島,63
小　窪,2,49,45,60,51,52,43,広島,4
石井琢,2,48,38,43,52,78,78,広島,25
前　田,4,45,50,21,35,23,45,広島,1
梵,3,43,50,69,62,72,57,広島,6
ニック,4,40,71,39,64,42,56,広島,70
岩　本,4,40,53,42,51,40,33,広島,10
石　原,3,39,50,43,67,60,75,広島,31
迎,3,39,45,70,60,45,46,広島,44
赤　松,3,38,47,91,74,79,72,広島,38
天　谷,2,37,48,84,41,51,64,広島,49
松　本,2,37,39,81,61,53,40,広島,45
倉,2,36,48,46,58,40,68,広島,40
山　本,3,36,51,68,43,39,31,広島,59
菊　池,3,35,49,69,71,51,42,広島,33
末　永,2,33,49,72,44,44,34,広島,51
安　部,2,33,46,76,60,56,47,広島,60
庄　司,2,33,42,55,56,55,42,広島,52
會　澤,3,33,54,44,66,46,41,広島,64
中　東,2,31,39,60,62,62,49,広島,00
鈴　木,2,29,37,73,72,38,37,広島,50
土　生,3,29,44,58,65,49,50,広島,43
堂　林,3,28,45,52,50,41,27,広島,13
磯　村,2,27,47,39,55,39,41,広島,61
申成鉉,4,25,53,45,60,31,29,広島,68
上　村,2,22,33,61,54,51,58,広島,27
白　濱,2,20,40,36,57,42,54,広島,32
荒　木,3,54,46,77,51,87,74,中日,2
谷　繁,3,49,53,38,59,64,81,中日,27
平　田,3,48,60,55,61,55,52,中日,40
堂上剛,3,47,54,51,66,45,42,中日,63
ブランコ,4,47,74,42,55,30,32,中日,42
大　島,2,46,47,72,59,68,68,中日,8
森　野,3,45,62,52,60,50,51,中日,30
ディアス,3,40,61,50,51,43,44,中日,44
野　本,3,39,52,57,55,53,51,中日,9
松井雅,2,38,43,64,68,32,45,中日,47
井　端,2,38,43,57,60,66,86,中日,6
福　田,3,37,53,46,62,38,45,中日,55
和　田,3,35,68,40,58,58,69,中日,5
藤　井,3,34,51,75,83,47,46,中日,4
谷,2,34,44,68,58,44,38,中日,36
中田亮,3,33,48,56,42,44,47,中日,50
松井佑,3,33,50,60,77,40,43,中日,56
高橋周,3,31,48,54,56,36,36,中日,31
柳　田,3,30,50,48,54,45,40,中日,53
小　田,3,29,48,28,65,50,65,中日,52
前　田,3,27,40,40,59,47,53,中日,38
吉　川,3,27,42,65,59,42,46,中日,3
田　中,2,26,41,46,70,40,49,中日,58
堂上直,3,26,51,56,60,55,64,中日,1
吉　田,2,25,39,51,65,34,42,中日,57
英　智,2,24,39,81,86,72,65,中日,24
森　越,3,23,39,63,61,40,40,中日,54
小　池,3,59,56,53,58,62,54,DeNA,8
金　城,2,56,53,61,73,79,73,DeNA,1
下　園,3,55,56,54,46,47,45,DeNA,50
ラミレス,4,54,79,39,44,20,35,DeNA,3
藤　田,2,52,42,59,60,75,72,DeNA,23
梶　谷,2,50,49,75,56,55,47,DeNA,63
石　川,1,49,45,85,48,55,39,DeNA,7
渡辺直,2,49,48,74,68,72,75,DeNA,2
サラサー,3,46,62,52,58,48,45,DeNA,42
森　本,2,44,46,70,68,77,64,DeNA,5
筒　香,3,43,70,52,55,34,28,DeNA,25
鶴　岡,2,42,42,46,62,56,57,DeNA,10
内　藤,3,38,51,54,54,49,40,DeNA,39
飛雄馬,3,37,50,51,61,47,43,DeNA,40
北,3,37,55,66,63,46,35,DeNA,43
乙　坂,2,36,38,72,58,41,42,DeNA,33
啓二朗,2,36,39,71,81,47,49,DeNA,6
井　手,3,34,47,55,53,42,41,DeNA,26
渡邊雄,3,34,44,53,58,42,43,DeNA,44
中　村,3,33,62,35,57,51,62,DeNA,99
荒　波,2,32,43,87,66,50,49,DeNA,4
新　沼,2,31,46,44,51,53,42,DeNA,29
吉　村,4,31,60,62,69,41,32,DeNA,31
細山田,1,31,42,52,51,54,67,DeNA,36
一　輝,2,29,42,51,53,53,55,DeNA,9
後　藤,3,29,64,31,39,33,30,DeNA,55
桑　原,2,29,42,70,58,46,42,DeNA,37
高　森,3,26,59,53,55,34,32,DeNA,62
山　崎,1,25,38,56,53,59,49,DeNA,0
黒羽根,3,25,43,54,81,51,38,DeNA,59
大原淳,2,19,44,63,61,60,56,DeNA,51
