選手名,球速,コントロール,スタミナ,総変化量,スライダー系,カーブ系,フォーク系,シンカー系,シュート系,球団,背番号
西　村,150,54,44,8,2,0,4,0,2,巨人,35
桜　井,150,44,55,5,0,0,2,1,2,巨人,36
山口俊,150,52,65,6,0,0,3,1,2,巨人,42
中　川,150,52,54,5,0,3,0,0,2,巨人,41
吉川光,150,39,62,5,0,4,0,0,1,巨人,21
谷　岡,150,43,52,3,0,0,3,0,0,巨人,40
今　村,149,42,58,6,2,0,3,0,1,巨人,45
大　江,149,39,48,5,3,0,2,0,0,巨人,64
大　竹,149,48,62,9,3,2,0,0,4,巨人,17
野　上,148,82,59,9,0,3,5,0,1,巨人,23
與那原,148,42,53,4,0,0,2,0,2,巨人,91
戸　根,147,42,57,6,3,2,0,1,0,巨人,50
田　原,147,47,42,7,0,2,0,3,2,巨人,37
田　口,146,70,64,8,3,0,0,4,1,巨人,90
池　田,145,45,51,6,2,0,0,4,0,巨人,48
山口鉄,145,50,45,7,1,0,4,0,2,巨人,47
内　海,144,52,60,4,0,2,0,2,0,巨人,26
森　福,139,69,45,5,4,0,0,0,1,巨人,13
杉　内,137,49,52,5,3,0,2,0,0,巨人,18
岡　田,155,44,70,5,0,0,0,2,3,広島,17
ジャクソン,155,77,45,8,0,0,5,0,3,広島,58
薮　田,154,46,75,9,0,5,0,1,3,広島,23
ジョンソン,153,72,79,8,3,2,0,3,0,広島,42
加　藤,153,13,69,4,0,0,4,0,0,広島,13
塹　江,153,38,54,4,2,0,2,0,0,広島,36
山　口,152,36,50,5,0,0,2,0,3,広島,47
カンポス,152,33,43,6,0,2,4,0,0,広島,70
ケムナ,151,30,45,4,0,0,0,2,2,広島,29
辻,150,40,42,3,0,0,0,1,2,広島,56
中　崎,150,66,49,7,2,0,1,0,4,広島,21
大瀬良,150,65,60,8,0,0,3,1,4,広島,14
今　村,149,50,58,6,0,0,5,0,1,広島,16
長井良,149,36,49,4,0,0,2,0,2,広島,65
永　川,148,49,35,4,0,0,2,0,2,広島,20
高橋昂,148,45,53,3,1,0,2,0,0,広島,34
床　田,148,55,51,5,3,1,1,0,0,広島,28
中村祐,148,38,53,9,0,0,4,2,3,広島,67
一　岡,148,61,48,6,0,0,3,3,0,広島,30
中　田,148,57,49,6,1,0,4,0,1,広島,26
オスカル,148,42,49,4,2,0,2,0,0,広島,57
九　里,147,54,63,9,3,0,3,0,3,広島,12
高橋樹,147,50,46,4,0,3,1,0,0,広島,46
藤　井,147,41,50,3,0,0,2,0,1,広島,41
横　山,146,50,60,6,0,0,2,1,3,広島,24
平　岡,146,45,38,4,0,0,1,1,2,広島,68
福　井,146,38,66,4,0,0,3,0,1,広島,11
戸　田,146,58,45,6,4,1,0,1,0,広島,53
中村恭,145,36,60,6,2,0,4,0,0,広島,64
アドゥワ,145,38,44,4,0,2,1,1,0,広島,48
飯　田,144,51,38,5,3,0,0,2,0,広島,39
野　村,144,80,65,7,0,3,0,1,3,広島,19
佐　藤,142,32,48,4,2,0,0,0,2,広島,98
遠　藤,142,56,42,4,0,0,0,3,1,広島,66
鈴木博,157,40,45,4,0,0,2,0,2,中日,46
福　谷,156,50,49,6,0,0,3,1,2,中日,24
ガルシア,155,40,50,2,1,0,1,0,0,中日,70
ジ　ー,152,67,60,4,0,0,3,1,0,中日,60
伊藤準,152,45,53,8,0,0,3,1,4,中日,65
又　吉,152,61,75,7,2,1,0,0,4,中日,16
田　島,152,59,56,9,1,0,5,0,3,中日,12
小笠原,151,41,70,6,0,2,0,4,0,中日,11
祖父江,151,57,48,6,0,0,4,0,2,中日,33
石川翔,151,42,52,3,0,0,1,0,2,中日,40
清　水,150,33,57,5,0,0,4,0,1,中日,50
佐　藤,150,52,41,5,1,0,0,1,3,中日,25
丸　山,150,45,42,4,0,0,1,3,0,中日,28
大野雄,150,54,91,6,3,0,3,0,0,中日,22
三ツ間,148,41,60,6,0,0,2,0,4,中日,43
谷　元,148,55,50,7,0,0,3,3,1,中日,14
山　本,148,41,45,4,0,0,2,0,2,中日,59
笠　原,147,50,65,7,3,1,3,0,0,中日,47
岡　田,146,55,42,6,3,0,3,0,0,中日,21
藤　嶋,146,46,44,3,0,0,0,2,1,中日,54
阿知羅,145,40,55,6,0,0,3,2,1,中日,30
鈴木翔,145,40,65,7,0,0,4,1,2,中日,18
柳,144,65,64,6,0,0,2,3,1,中日,17
吉　見,144,83,59,5,0,0,2,0,3,中日,19
浅　尾,144,42,50,3,0,0,2,0,1,中日,41
山　井,144,50,67,4,0,0,1,3,0,中日,29
小　熊,143,59,60,6,0,0,3,1,2,中日,64
岩　瀬,143,54,45,5,3,0,1,0,1,中日,13
小　川,143,55,45,5,1,4,0,0,0,中日,57
若　松,141,65,70,5,0,0,4,1,0,中日,61
パットン,154,51,52,5,0,0,4,0,1,DeNA,53
三　上,153,57,42,5,0,0,4,0,1,DeNA,35
エスコバー,153,40,50,4,3,0,1,0,0,DeNA,62
国　吉,153,42,59,6,0,0,3,0,3,DeNA,65
熊　原,152,50,51,4,0,0,4,0,0,DeNA,22
山崎康,152,65,48,9,0,5,0,0,4,DeNA,19
井　納,152,60,78,7,0,0,4,1,2,DeNA,15
東,152,62,60,4,2,0,2,0,0,DeNA,11
ウィーランド,151,66,70,8,1,2,0,5,0,DeNA,56
濱　口,151,38,63,5,0,1,4,0,0,DeNA,26
福　地,151,37,42,4,1,1,2,0,0,DeNA,28
三　嶋,150,44,59,5,0,0,2,1,2,DeNA,17
今　永,150,58,73,8,3,1,4,0,0,DeNA,21
齋　藤,149,48,50,4,0,0,2,2,0,DeNA,24
櫻　井,149,37,47,4,3,0,1,0,0,DeNA,41
平　田,148,48,51,6,1,0,2,0,3,DeNA,34
進　藤,148,40,45,6,0,0,0,3,3,DeNA,43
阪　口,148,41,49,4,0,0,0,2,2,DeNA,12
京　山,147,42,42,3,0,2,0,0,1,DeNA,48
バリオス,147,40,36,6,0,0,4,2,0,DeNA,42
平　良,147,48,56,3,0,1,0,0,2,DeNA,59
石　田,147,61,58,7,3,1,0,3,0,DeNA,14
砂　田,146,62,53,7,4,1,0,0,2,DeNA,47
須　田,146,56,55,7,0,4,1,0,2,DeNA,20
綾　部,146,41,47,4,0,0,3,1,0,DeNA,45
藤　岡,146,52,44,5,2,1,0,0,2,DeNA,68
野　川,146,42,43,4,1,0,3,0,0,DeNA,97
飯　塚,145,48,55,5,0,0,3,0,2,DeNA,30
武　藤,144,42,54,5,2,0,2,0,1,DeNA,58
田中健,144,52,50,7,2,4,1,0,0,DeNA,46
寺　田,142,55,48,4,0,0,0,2,2,DeNA,54
加　賀,140,46,49,6,0,0,1,0,5,DeNA,16
