選手名,球速,コントロール,スタミナ,総変化量,スライダー系,カーブ系,フォーク系,シンカー系,シュート系,球団,背番号
西　村,153,48,51,7,1,0,4,0,2,巨人,35
山　口,152,47,48,6,2,0,3,0,1,巨人,47
笠　原,152,33,55,5,0,0,1,1,3,巨人,63
小　山,151,41,64,6,1,0,4,1,0,巨人,59
土　田,150,26,44,2,0,0,2,0,0,巨人,93
福　田,150,38,47,4,0,0,3,0,1,巨人,29
宮　國,150,43,60,4,0,0,2,0,2,巨人,30
星　野,150,43,41,3,2,0,1,0,0,巨人,60
今　村,149,38,58,4,1,1,2,0,0,巨人,45
高　木,148,38,52,4,0,3,1,0,0,巨人,28
大　竹,148,53,69,6,1,2,0,0,3,巨人,17
田　中,148,22,51,3,0,0,0,3,0,巨人,68
公　文,147,41,45,4,2,1,1,0,0,巨人,57
田　口,147,42,61,3,3,0,0,0,0,巨人,90
江柄子,147,39,56,4,1,0,2,0,1,巨人,62
越　智,146,28,46,3,0,0,3,0,0,巨人,67
平　良,146,33,54,2,0,0,1,0,1,巨人,92
松本竜,146,48,55,4,2,0,2,0,0,巨人,41
内　海,146,68,73,7,0,3,0,4,0,巨人,26
杉　内,145,61,69,8,4,0,4,0,0,巨人,18
香　月,145,58,44,5,3,0,1,0,1,巨人,13
久　保,145,42,48,5,0,0,4,0,1,巨人,11
阿　南,145,53,64,4,2,0,0,2,0,巨人,99
田　原,144,43,51,4,0,1,0,2,1,巨人,37
セドン,144,45,63,6,3,0,3,0,0,巨人,49
須　永,142,36,64,3,2,0,0,0,1,巨人,66
青　木,141,68,39,6,1,4,1,0,0,巨人,43
ミコライオ,157,59,39,9,5,0,2,0,2,広島,57
前田健,153,75,89,7,1,1,0,1,4,広島,18
中村恭,152,31,55,5,3,2,0,0,0,広島,22
ヒース,152,37,55,4,0,0,0,1,3,広島,70
大瀬良,151,68,77,6,0,0,1,1,4,広島,14
今　村,151,50,58,5,0,0,2,0,3,広島,16
一　岡,151,61,38,6,0,0,5,0,1,広島,30
福　井,150,19,59,3,0,0,3,0,0,広島,11
永　川,149,51,35,7,0,0,5,0,2,広島,20
中　崎,149,59,52,4,0,0,1,0,3,広島,56
フィリップス,149,62,37,3,2,0,1,0,0,広島,58
戸　田,149,39,45,5,2,2,1,0,0,広島,53
バリントン,148,66,63,7,0,0,3,0,4,広島,42
久　本,148,38,50,6,2,1,3,0,0,広島,65
今　井,147,48,68,6,0,0,1,2,3,広島,62
中　田,147,44,49,7,4,0,2,0,1,広島,34
小　野,147,44,51,4,0,0,1,0,3,広島,47
九　里,147,50,63,5,2,0,0,0,3,広島,12
池ノ内,147,34,63,3,0,2,0,0,1,広島,68
横　山,147,60,39,6,0,0,4,1,1,広島,23
齊　藤,146,52,59,3,1,1,1,0,0,広島,36
篠　田,146,56,60,5,3,2,0,0,0,広島,21
西　原,146,41,36,4,2,0,0,0,2,広島,48
武　内,145,32,44,2,0,0,2,0,0,広島,54
上　野,144,46,49,4,2,0,0,1,1,広島,41
梅　津,143,51,49,4,1,1,0,0,2,広島,39
岩　見,143,25,51,3,1,0,2,0,0,広島,28
江　草,142,38,57,3,1,0,2,0,0,広島,29
中村祐,142,38,39,3,0,0,2,1,0,広島,67
野　村,142,49,65,6,2,0,2,0,2,広島,19
大　島,141,50,57,3,0,2,1,0,0,広島,46
河　内,132,42,29,6,5,0,1,0,0,広島,24
福　谷,155,54,51,6,0,0,3,0,3,中日,24
田　島,153,39,57,5,0,0,2,0,3,中日,12
大　野,151,59,74,8,4,0,4,0,0,中日,22
カブレラ,151,51,64,5,0,0,2,3,0,中日,99
伊藤準,151,39,48,4,0,0,2,2,0,中日,65
阿知羅,150,37,37,3,0,0,0,3,0,中日,30
祖父江,150,57,50,5,0,0,4,0,1,中日,33
浅　尾,150,47,53,4,0,0,3,0,1,中日,41
高橋聡,150,52,48,5,2,0,3,0,0,中日,67
パヤノ,150,47,49,3,2,0,1,0,0,中日,47
武　藤,149,42,60,5,2,0,0,0,3,中日,25
小　熊,148,43,46,4,0,0,1,1,2,中日,64
又　吉,148,53,54,4,0,0,0,0,4,中日,16
山　井,147,58,66,9,1,0,4,4,0,中日,29
吉　見,147,63,63,5,1,0,2,0,2,中日,19
矢　地,147,37,47,4,0,0,0,2,2,中日,59
辻,146,44,49,4,0,0,1,0,3,中日,35
岡　田,146,46,63,3,2,0,1,0,0,中日,21
朝　倉,146,50,56,6,2,0,1,0,3,中日,14
岩　瀬,145,64,42,6,3,0,1,0,2,中日,13
井　上,145,38,41,4,0,0,0,2,2,中日,53
川　上,145,46,55,5,1,0,0,2,2,中日,11
岩　田,145,48,54,4,0,0,0,2,2,中日,28
三　瀬,145,45,37,3,2,0,0,0,1,中日,39
鈴木義,144,44,50,5,2,0,0,0,3,中日,23
小　川,144,37,45,3,1,2,0,0,0,中日,57
西　川,144,43,50,2,0,0,1,0,1,中日,32
雄　太,144,53,53,6,2,1,0,3,0,中日,17
濱　田,144,60,68,6,2,0,4,0,0,中日,43
山　内,143,39,53,4,2,0,1,0,1,中日,26
鈴木翔,143,41,33,4,0,0,2,2,0,中日,18
川　崎,143,40,35,3,0,0,1,0,2,中日,51
若　松,142,33,34,3,0,0,1,2,0,中日,61
山本昌,139,60,55,5,2,1,0,2,0,中日,34
小　林,134,46,25,5,4,0,0,0,1,中日,69
山　口,155,54,68,6,0,0,3,1,2,DeNA,11
国　吉,154,50,59,5,0,0,2,0,3,DeNA,65
ソーサ,152,50,54,4,0,0,1,0,3,DeNA,53
三　上,151,72,42,6,0,0,1,0,5,DeNA,35
モスコーソ,150,57,63,5,0,0,3,0,2,DeNA,49
井　納,150,55,75,8,0,0,4,2,2,DeNA,15
小林太志,150,43,52,4,2,0,0,0,2,DeNA,14
久　保,149,58,70,4,0,0,2,0,2,DeNA,27
長　田,149,37,38,5,0,0,2,0,3,DeNA,56
三　嶋,149,33,69,4,0,0,2,0,2,DeNA,17
ソ　ト,148,42,59,5,2,0,3,0,0,DeNA,61
平　田,148,40,59,3,0,0,1,0,2,DeNA,34
萬　谷,148,57,41,5,0,0,3,0,2,DeNA,62
菊　地,148,43,45,3,0,0,1,0,2,DeNA,30
冨　田,148,35,45,2,0,0,1,0,1,DeNA,68
大　田,147,60,52,5,0,0,2,0,3,DeNA,58
高　崎,147,42,50,4,0,0,2,0,2,DeNA,22
須　田,147,50,64,5,1,2,0,0,2,DeNA,20
小　杉,147,50,67,4,2,0,0,0,2,DeNA,54
柿　田,146,49,61,3,0,0,0,1,2,DeNA,13
小　林,146,54,62,5,0,0,1,1,3,DeNA,12
三　浦,146,65,72,6,2,0,2,0,2,DeNA,18
尚　成,145,50,59,4,2,0,2,0,0,DeNA,47
加賀美,144,49,63,5,0,0,2,1,2,DeNA,21
藤　江,144,60,50,8,0,0,5,0,3,DeNA,19
安　部,144,47,49,4,2,0,2,0,0,DeNA,43
陳,144,34,51,4,2,2,0,0,0,DeNA,59
伊　藤,144,43,43,3,0,0,1,0,2,DeNA,67
山　下,144,43,49,2,1,1,0,0,0,DeNA,48
土　屋,144,43,57,3,2,0,1,0,0,DeNA,45
北　方,143,36,57,3,0,0,1,0,2,DeNA,28
神　内,143,35,30,3,1,0,2,0,0,DeNA,38
林,142,53,54,5,1,0,4,0,0,DeNA,24
大　原,141,68,50,6,4,0,0,0,2,DeNA,41
加　賀,141,52,57,4,0,1,0,0,3,DeNA,16
藤　井,140,60,66,6,3,1,2,0,0,DeNA,00
田　中,140,48,56,4,2,0,2,0,0,DeNA,46
眞　下,138,39,58,3,0,2,1,0,0,DeNA,64
