選手名,球速,コントロール,スタミナ,総変化量,スライダー系,カーブ系,フォーク系,シンカー系,シュート系,球団,背番号
岩　崎,147,64,49,8,1,3,0,4,0,阪神,13
西,146,82,77,7,2,2,0,1,2,阪神,16
チェン,145,64,65,7,3,2,0,2,0,阪神,14
伊　藤,144,65,66,6,3,0,0,3,0,阪神,27
秋　山,143,88,66,7,0,0,4,2,1,阪神,21
ビエイラ,166,43,38,6,0,0,5,0,1,巨人,49
デラロサ,159,47,43,8,0,0,0,5,3,巨人,12
平　内,156,42,52,5,0,0,3,0,2,巨人,11
戸　郷,154,53,58,6,0,0,5,1,0,巨人,20
畠,154,59,57,5,0,0,1,0,4,巨人,45
鍵　谷,153,47,42,6,0,0,2,0,4,巨人,30
菅　野,153,74,76,10,0,0,4,2,4,巨人,18
山　口,153,47,77,8,0,0,4,1,3,巨人,17
山崎伊,153,51,56,4,0,0,2,0,2,巨人,19
太　田,153,41,53,3,0,0,0,2,1,巨人,33
山　田,153,41,55,5,2,0,3,0,0,巨人,28
大　勢,153,28,51,6,0,0,3,0,3,巨人,15
赤　星,152,56,54,5,3,0,0,0,2,巨人,31
アンドリース,152,57,62,7,0,0,3,2,2,巨人,29
メルセデス,152,70,67,8,3,4,0,1,0,巨人,42
中　川,151,60,56,6,0,5,1,0,0,巨人,41
桜　井,150,58,65,6,0,0,1,3,2,巨人,35
戸　根,150,35,51,6,2,2,0,2,0,巨人,50
井　納,150,55,78,6,0,0,4,0,2,巨人,21
戸　田,150,49,50,4,0,0,2,0,2,巨人,90
直　江,150,44,45,6,0,0,2,2,2,巨人,54
高　木,150,62,45,7,1,3,3,0,0,巨人,57
高　橋,148,45,60,8,2,1,0,5,0,巨人,47
山　本,147,45,54,4,0,3,0,1,0,巨人,58
今　村,147,56,60,7,3,0,4,0,0,巨人,26
高　梨,146,48,46,9,7,0,0,0,2,巨人,53
花　田,146,41,40,4,0,0,3,0,1,巨人,63
石　田,146,43,42,4,0,2,0,2,0,巨人,56
大　江,145,39,45,7,5,0,0,2,0,巨人,64
代　木,143,52,41,4,3,1,0,0,0,巨人,68
コルニエル,165,48,61,6,0,0,3,0,3,広島,98
島　内,157,36,48,7,0,3,3,0,1,広島,43
ターリー,156,37,48,6,0,5,0,1,0,広島,68
森　下,155,66,76,9,0,0,3,3,3,広島,18
フランスア,155,51,54,5,1,0,4,0,0,広島,97
岡　田,154,41,66,5,0,0,1,2,2,広島,17
ケムナ,154,30,45,6,0,0,1,2,3,広島,29
薮　田,153,29,75,6,0,0,2,1,3,広島,23
矢　崎,153,13,69,3,0,0,3,0,0,広島,41
アンダーソン,153,52,63,6,0,2,0,2,2,広島,42
塹　江,153,38,54,5,4,0,1,0,0,広島,36
栗　林,153,53,50,9,0,0,6,2,1,広島,20
大瀬良,152,70,76,9,0,0,2,2,5,広島,14
田中法,152,34,41,4,0,0,2,0,2,広島,57
藤　井,152,53,41,5,0,0,3,0,2,広島,58
小　林,152,45,34,4,0,0,2,0,2,広島,53
黒　原,151,45,51,6,2,1,0,3,0,広島,24
山　口,151,37,48,6,0,0,1,2,3,広島,47
大　道,151,40,51,4,0,0,3,1,0,広島,12
中　田,150,43,39,6,2,0,2,0,2,広島,26
九　里,150,54,67,8,3,0,3,0,2,広島,11
床　田,150,57,58,8,2,0,3,3,0,広島,28
森,150,41,62,6,3,2,1,0,0,広島,16
遠　藤,149,45,61,7,0,0,3,2,2,広島,66
松　本,149,52,43,6,0,1,3,0,2,広島,45
森　浦,149,54,53,7,3,1,0,3,0,広島,13
中　崎,149,61,49,5,2,0,0,0,3,広島,21
菊池保,149,38,48,8,0,0,5,0,3,広島,39
一　岡,149,56,48,5,0,0,3,2,0,広島,30
高橋昂,148,52,48,6,4,0,2,0,0,広島,34
アドゥワ,147,50,64,4,0,2,2,0,0,広島,48
高橋樹,147,56,46,6,2,1,0,3,0,広島,46
玉　村,147,47,62,6,3,1,2,0,0,広島,65
中村祐,146,54,53,6,0,0,3,1,2,広島,67
野　村,140,64,65,6,0,3,0,1,2,広島,19
R・マルティネス,161,52,49,10,0,2,5,3,0,中日,92
ロドリゲス,158,46,58,8,0,2,0,3,3,中日,29
岩　嵜,157,60,34,8,0,0,5,2,1,中日,16
森,155,52,42,6,0,0,1,2,3,中日,28
高　橋,154,38,57,6,1,0,2,0,3,中日,19
高　橋,154,38,57,6,1,0,2,0,3,中日,3
福　谷,154,69,60,6,0,0,3,0,3,中日,24
梅　津,153,39,61,7,0,0,4,0,3,中日,18
加　藤,153,37,31,3,0,0,0,2,1,中日,65
佐　藤,153,41,49,6,0,0,3,0,3,中日,25
石　森,152,38,36,5,2,0,3,0,0,中日,26
鈴木博,152,46,48,6,0,0,2,0,4,中日,46
橋　本,152,41,43,8,0,4,3,1,0,中日,13
大野雄大,152,74,86,10,3,0,3,0,4,中日,22
山　本,151,38,58,6,0,2,0,1,3,中日,59
祖父江,150,67,42,7,2,0,3,0,2,中日,33
福,150,58,40,4,3,0,0,1,0,中日,34
小笠原,150,47,65,6,0,3,0,3,0,中日,11
田　島,150,45,43,7,1,0,3,0,3,中日,12
清　水,149,29,57,7,0,0,3,3,1,中日,50
谷　元,149,50,39,8,0,0,2,3,3,中日,14
岡　田,149,45,37,8,3,3,2,0,0,中日,21
マルク,149,39,45,2,0,0,2,0,0,中日,53
近　藤,148,41,46,4,3,1,0,0,0,中日,70
勝　野,148,52,64,8,0,0,4,1,3,中日,41
藤　嶋,148,57,39,6,0,0,3,2,1,中日,54
柳,148,70,72,10,0,3,3,0,4,中日,17
松　葉,147,68,57,7,0,3,1,3,0,中日,38
笠　原,146,37,52,7,2,2,3,0,0,中日,47
垣　越,146,43,36,3,2,1,0,0,0,中日,61
岡　野,146,59,55,5,0,0,3,0,2,中日,36
エスコバー,160,54,50,6,4,0,0,1,1,DeNA,62
クリスキー,158,28,43,6,0,0,5,0,1,DeNA,49
ロメロ,157,43,65,6,0,3,0,0,3,DeNA,42
三　嶋,156,48,59,8,0,0,3,1,4,DeNA,17
京　山,154,36,54,7,0,2,3,0,2,DeNA,48
中川虎,154,31,53,5,0,0,3,1,1,DeNA,64
伊　勢,153,48,45,4,0,1,0,0,3,DeNA,13
山崎康,153,53,48,7,1,5,0,0,1,DeNA,19
入　江,153,48,49,3,1,0,2,0,0,DeNA,22
阪　口,152,39,53,6,0,3,0,1,2,DeNA,12
小　園,152,44,45,6,1,0,2,0,3,DeNA,18
三　上,152,57,42,6,0,0,3,0,3,DeNA,35
徳　山,151,52,53,6,0,0,3,2,1,DeNA,15
平　田,151,47,53,7,1,0,3,0,3,DeNA,34
今　永,150,61,68,8,3,2,3,0,0,DeNA,21
櫻　井,150,37,47,6,2,0,3,1,0,DeNA,41
三　浦,150,51,57,6,0,3,0,2,1,DeNA,30
松　本,149,31,38,4,0,1,0,3,0,DeNA,40
浅　田,149,45,42,4,0,1,2,1,0,DeNA,54
宮　國,149,57,51,6,0,0,4,0,2,DeNA,65
上茶谷,149,60,63,4,0,0,2,0,2,DeNA,27
石　田,149,49,58,7,2,1,0,4,0,DeNA,14
大　貫,149,61,60,7,0,2,3,0,2,DeNA,16
坂　本,148,50,51,6,2,1,0,3,0,DeNA,20
濱　口,148,40,72,7,2,0,5,0,0,DeNA,26
東,148,62,57,7,3,1,3,0,0,DeNA,11
高　田,148,45,45,5,0,1,2,2,0,DeNA,56
池　谷,147,53,41,5,1,3,1,0,0,DeNA,53
砂　田,146,52,53,5,4,0,0,1,0,DeNA,47
有　吉,144,61,64,5,0,2,0,0,3,DeNA,67
田中健,144,48,50,6,1,3,2,0,0,DeNA,46
深　沢,144,50,38,4,1,0,0,1,2,DeNA,43
