選手名,球速,コントロール,スタミナ,総変化量,スライダー系,カーブ系,フォーク系,シンカー系,シュート系,球団,背番号
フランスア,159,40,54,8,4,0,4,0,0,広島,97
中村恭,156,35,59,6,3,0,3,0,0,広島,64
森　下,155,60,61,6,0,0,2,3,1,広島,18
モンティージャ,155,42,58,6,3,0,3,0,0,広島,98
ケムナ,154,30,45,5,0,0,0,2,3,広島,29
スコット,154,45,43,5,0,2,0,0,3,広島,70
島　内,154,42,51,5,0,2,3,0,0,広島,43
岡　田,154,41,66,5,0,0,1,2,2,広島,17
DJ・ジョンソン,153,33,48,5,0,0,0,5,0,広島,58
矢　崎,153,13,69,2,0,0,2,0,0,広島,13
田中法,152,34,41,4,0,0,2,0,2,広島,57
塹　江,152,38,54,4,2,2,0,0,0,広島,36
大瀬良,152,70,76,10,0,0,3,2,5,広島,14
山　口,151,37,48,6,0,0,1,2,3,広島,47
九　里,150,62,63,8,3,0,3,0,2,広島,12
ジョンソン,150,63,79,9,4,2,0,3,0,広島,42
今　村,150,46,58,5,0,0,3,0,2,広島,16
中　田,150,47,39,4,1,0,2,0,1,広島,26
鈴木寛,150,40,39,4,0,0,2,0,2,広島,52
薮　田,150,18,75,7,0,3,0,1,3,広島,23
遠　藤,149,44,42,6,0,0,2,3,1,広島,66
床　田,149,51,65,8,2,0,3,3,0,広島,28
一　岡,149,56,48,6,0,0,3,3,0,広島,30
中　崎,149,61,49,6,3,0,0,0,3,広島,21
菊池保,148,38,53,8,2,0,4,0,2,広島,39
アドゥワ,147,50,64,4,0,2,2,0,0,広島,48
戸　田,147,58,45,5,3,1,0,1,0,広島,53
高橋昂,147,45,53,3,1,0,2,0,0,広島,34
玉　村,147,48,32,3,1,1,1,0,0,広島,65
中村祐,146,48,53,4,0,0,3,0,1,広島,67
平　岡,146,38,48,4,0,0,1,1,2,広島,68
藤　井,145,41,50,4,0,0,2,0,2,広島,41
高橋樹,145,50,46,4,0,3,1,0,0,広島,46
野　村,144,71,65,6,0,3,0,1,2,広島,19
R・マルティネス,159,52,49,5,0,1,4,0,0,中日,97
ロメロ,157,43,70,6,3,0,3,0,0,中日,70
鈴木博,156,42,48,6,0,0,2,0,4,中日,46
木下雄,154,41,39,5,0,0,3,0,2,中日,98
福　谷,154,44,54,6,0,0,3,0,3,中日,24
ゴンサレス,153,48,43,6,4,0,2,0,0,中日,53
梅　津,153,53,52,6,0,0,3,0,3,中日,28
又　吉,152,50,56,5,2,0,0,0,3,中日,16
大野雄大,152,61,81,6,3,0,3,0,0,中日,22
勝　野,152,52,64,5,0,0,3,1,1,中日,41
伊藤準,152,42,51,6,0,0,3,0,3,中日,65
石川翔,151,39,52,4,0,0,3,0,1,中日,40
田　島,150,45,43,7,1,0,3,0,3,中日,12
小　熊,150,51,51,7,0,0,2,2,3,中日,64
祖父江,150,58,51,6,2,0,4,0,0,中日,33
佐　藤,150,41,49,6,0,0,3,0,3,中日,25
橋　本,149,31,55,6,1,2,3,0,0,中日,13
福,149,58,40,4,3,0,0,1,0,中日,34
岡　田,149,51,37,8,3,3,2,0,0,中日,21
小笠原,149,46,68,6,0,3,0,3,0,中日,11
岡　野,149,62,58,5,0,0,3,0,2,中日,36
清　水,149,29,57,7,0,0,3,3,1,中日,50
谷　元,149,33,39,8,0,0,3,2,3,中日,14
三ツ間,148,37,57,5,0,0,2,0,3,中日,43
山　本,148,38,58,6,0,2,0,1,3,中日,59
山　井,148,48,56,4,0,0,2,2,0,中日,29
柳,147,70,74,8,0,0,3,2,3,中日,17
藤　嶋,147,57,39,6,0,0,3,2,1,中日,54
竹　内,147,41,34,3,0,0,1,0,2,中日,62
松　葉,147,62,67,7,0,3,1,3,0,中日,38
阿知羅,147,40,58,7,0,0,2,2,3,中日,30
垣　越,146,43,36,3,2,1,0,0,0,中日,61
笠　原,146,46,59,7,2,2,3,0,0,中日,47
鈴木翔,145,31,59,6,0,0,3,1,2,中日,99
吉　見,144,83,59,6,1,0,2,0,3,中日,19
濱　田,138,44,61,5,2,0,3,0,0,中日,69
エスコバー,160,48,50,6,4,0,1,0,1,DeNA,62
国　吉,159,44,59,5,0,0,3,0,2,DeNA,92
三　嶋,156,44,59,6,0,0,1,1,4,DeNA,17
パットン,154,41,43,5,0,0,3,0,2,DeNA,53
ピープルズ,153,68,65,7,1,3,0,3,0,DeNA,45
中　川,153,21,53,4,0,0,3,0,1,DeNA,93
勝　又,152,29,39,4,0,0,1,1,2,DeNA,28
伊　勢,152,40,41,5,1,1,0,0,3,DeNA,13
三　上,152,57,42,6,0,0,3,0,3,DeNA,35
山崎康,151,61,48,9,0,5,0,0,4,DeNA,19
笠　井,151,38,46,6,0,0,2,0,4,DeNA,94
今　永,151,50,77,9,3,2,4,0,0,DeNA,21
石　田,151,49,58,7,2,1,0,4,0,DeNA,14
濱　口,150,40,72,6,2,0,4,0,0,DeNA,26
齋　藤,150,51,50,6,0,0,4,0,2,DeNA,24
井　納,150,55,78,7,0,0,4,1,2,DeNA,15
飯　塚,150,47,55,5,0,0,2,1,2,DeNA,30
古　村,150,35,43,3,2,0,1,0,0,DeNA,67
阪　口,150,36,49,4,0,0,0,2,2,DeNA,12
櫻　井,150,37,47,6,4,0,2,0,0,DeNA,41
浅　田,149,45,42,4,0,1,2,1,0,DeNA,54
武　藤,149,42,54,6,2,0,3,0,1,DeNA,58
平　田,149,52,51,4,1,0,1,0,2,DeNA,34
進　藤,149,33,45,6,0,0,0,3,3,DeNA,43
京　山,149,44,50,4,0,2,0,0,2,DeNA,48
大　貫,149,61,60,6,0,2,3,0,1,DeNA,16
東,148,62,57,7,3,1,3,0,0,DeNA,11
上茶谷,148,60,63,5,0,0,3,0,2,DeNA,27
坂　本,148,50,52,6,3,0,3,0,0,DeNA,20
砂　田,148,52,53,6,4,0,1,0,1,DeNA,47
赤　間,146,55,50,6,0,0,3,0,3,DeNA,49
濱　矢,145,35,48,4,3,0,1,0,0,DeNA,56
平　良,145,66,56,6,0,3,0,0,3,DeNA,59
藤　岡,143,52,44,7,2,3,0,0,2,DeNA,68
