選手名,球速,コントロール,スタミナ,総変化量,スライダー系,カーブ系,フォーク系,シンカー系,シュート系,球団,背番号
福　原,150,54,59,5,0,0,0,2,3,阪神,28
伊藤和,150,33,40,3,0,0,1,1,1,阪神,17
小　嶋,149,38,52,4,2,1,1,0,0,阪神,29
久　保,148,63,77,6,1,0,3,0,2,阪神,34
安　藤,148,54,64,4,2,0,1,0,1,阪神,16
渡　辺,148,60,57,7,0,1,3,0,3,阪神,12
白仁田,148,41,61,3,0,0,1,0,2,阪神,64
石　川,148,46,55,3,0,0,2,1,0,阪神,48
松　田,148,29,39,2,0,0,1,0,1,阪神,56
若　竹,148,44,52,3,0,0,1,2,0,阪神,49
二　神,147,48,53,2,0,0,0,1,1,阪神,18
加　藤,147,35,33,4,3,0,1,0,0,阪神,63
岩　田,147,48,68,8,3,5,0,0,0,阪神,21
西　村,147,59,49,3,0,0,3,0,0,阪神,43
榎　田,147,54,58,7,1,4,0,2,0,阪神,13
小林宏,147,48,60,6,0,1,5,0,0,阪神,41
秋　山,145,36,62,4,0,0,1,3,0,阪神,27
鶴,145,50,59,4,2,0,0,0,2,阪神,46
筒　井,145,49,57,4,1,0,0,3,0,阪神,20
歳　内,145,32,33,3,0,0,3,0,0,阪神,26
岩　本,144,39,27,3,0,0,2,1,0,阪神,59
清　原,144,40,51,4,1,0,0,2,1,阪神,47
横　山,143,37,35,4,0,1,3,0,0,阪神,68
川　崎,142,46,28,3,2,0,0,1,0,阪神,62
松　崎,142,29,48,2,1,1,0,0,0,阪神,65
藤　原,142,53,46,4,3,1,0,0,0,阪神,15
蕭一傑,139,48,59,4,0,1,0,2,1,阪神,19
マシソン,158,24,59,5,0,0,0,2,3,巨人,20
林イー豪,156,33,41,4,0,0,3,0,1,巨人,96
澤　村,155,56,81,8,0,0,4,1,3,巨人,15
ロメロ,154,36,43,5,0,0,3,0,2,巨人,39
西　村,154,57,64,6,3,0,1,0,2,巨人,35
山　口,153,59,47,8,4,0,3,0,1,巨人,47
越　智,152,49,46,4,0,0,4,0,0,巨人,22
辻　内,151,32,38,3,2,1,0,0,0,巨人,98
笠　原,150,26,48,4,0,0,0,2,2,巨人,93
福　田,150,58,47,4,0,0,1,0,3,巨人,59
一　岡,150,43,34,3,0,0,2,0,1,巨人,46
江柄子,150,39,37,5,3,0,1,0,1,巨人,62
東　野,150,59,65,6,0,0,2,1,3,巨人,17
久　保,149,73,48,9,0,0,5,2,2,巨人,11
金　刃,149,47,52,4,3,0,1,0,0,巨人,28
ゴンザレス,149,61,61,6,0,0,2,0,4,巨人,49
星　野,149,35,41,5,3,0,2,0,0,巨人,60
野間口,149,44,54,5,0,0,2,0,3,巨人,45
今　村,148,38,53,3,2,0,1,0,0,巨人,65
朝　井,148,51,62,3,0,0,1,1,1,巨人,38
田中太,148,25,36,3,0,0,0,1,2,巨人,68
小　山,148,50,44,5,0,0,3,0,2,巨人,94
真　田,148,60,52,3,2,0,0,0,1,巨人,29
内　海,148,65,75,9,1,3,1,4,0,巨人,26
宮　國,147,33,57,5,0,0,0,1,4,巨人,30
高木京,147,46,48,4,1,3,0,0,0,巨人,57
高木康,147,41,42,5,1,4,0,0,0,巨人,13
小　野,147,39,51,4,0,0,1,0,3,巨人,43
杉　内,146,64,81,9,3,1,5,0,0,巨人,18
ホールトン,146,74,72,8,0,0,4,1,3,巨人,54
松本竜,146,48,55,4,2,0,2,0,0,巨人,41
田　原,143,47,38,3,0,1,0,0,2,巨人,63
須　永,142,36,64,3,2,0,0,0,1,巨人,37
サファテ,158,70,37,4,0,0,4,0,0,広島,58
ミコライオ,155,50,39,4,0,0,2,0,2,広島,57
前田健,153,70,89,8,0,0,2,2,4,広島,18
今　村,152,44,58,5,0,0,3,0,2,広島,16
バリントン,151,69,73,7,0,0,2,0,5,広島,42
福　井,150,28,67,3,0,0,3,0,0,広島,11
大　竹,150,59,59,6,1,3,0,0,2,広島,17
永　川,150,34,41,5,0,0,4,0,1,広島,20
中　村,150,31,55,3,2,1,0,0,0,広島,22
金　丸,150,37,39,3,1,0,0,0,2,広島,30
小　松,149,44,68,3,0,0,1,0,2,広島,41
横　山,149,66,49,5,0,0,2,1,2,広島,23
武　内,149,32,39,2,0,0,2,0,0,広島,54
岸　本,149,34,54,5,1,0,3,0,1,広島,48
野　村,149,57,68,5,1,0,2,0,2,広島,19
弦　本,148,15,42,3,0,0,2,0,1,広島,69
中　田,148,60,51,4,0,0,2,0,2,広島,34
今　井,147,65,68,4,0,2,0,0,2,広島,62
江　草,146,29,57,4,2,0,2,0,0,広島,29
岩　見,146,25,51,3,1,0,2,0,0,広島,28
齊　藤,146,52,59,4,1,1,2,0,0,広島,21
中　崎,145,38,52,2,0,0,0,1,1,広島,56
篠　田,145,49,68,5,3,0,2,0,0,広島,14
上　野,145,50,49,3,2,0,0,0,1,広島,12
戸　田,145,39,38,3,2,1,0,0,0,広島,53
青　木,144,53,51,5,1,4,0,0,0,広島,47
梅　津,143,64,49,4,1,1,0,0,2,広島,39
相　澤,143,55,50,4,2,0,0,2,0,広島,65
伊　東,143,55,52,3,1,2,0,0,0,広島,67
大　島,141,50,57,4,0,2,2,0,0,広島,46
浅　尾,156,75,60,9,0,0,6,0,3,中日,41
ネルソン,154,65,77,6,0,0,4,0,2,中日,49
中田賢,150,43,67,4,0,0,2,0,2,中日,20
山　井,150,53,66,4,1,0,1,2,0,中日,29
高橋聡,150,53,49,4,2,0,2,0,0,中日,67
ソーサ,150,40,36,5,0,0,2,0,3,中日,65
清　水,150,38,48,4,0,0,2,0,2,中日,12
齊　藤,150,37,50,3,1,0,0,0,2,中日,48
伊藤準,149,42,52,4,0,0,2,2,0,中日,18
大　野,149,37,46,3,2,1,0,0,0,中日,22
田　島,149,38,37,4,0,0,2,0,2,中日,45
平　井,148,60,46,5,1,0,2,0,2,中日,33
武　藤,148,45,45,3,0,0,1,0,2,中日,25
関,148,36,37,3,0,0,2,0,1,中日,62
矢　地,147,43,50,3,0,0,0,1,2,中日,59
ソ　ト,147,73,64,7,4,1,2,0,0,中日,70
朝　倉,146,50,63,4,2,0,1,0,1,中日,14
三　瀬,146,51,32,4,2,0,0,0,2,中日,39
岩　瀬,146,78,39,9,6,0,0,0,3,中日,13
吉　見,146,86,83,9,3,0,3,0,3,中日,19
川　上,146,58,52,6,1,0,0,2,3,中日,11
高　島,146,37,41,3,0,0,1,0,2,中日,68
小　熊,146,39,40,3,0,0,1,0,2,中日,64
金　剛,145,48,45,3,0,0,2,0,1,中日,0
辻,145,41,42,3,0,0,1,0,2,中日,35
久　本,145,54,43,4,2,1,1,0,0,中日,61
岩　田,145,41,61,4,0,0,1,1,2,中日,28
西　川,145,36,32,3,0,0,1,0,2,中日,32
小笠原,144,54,64,3,1,1,0,1,0,中日,43
山　内,144,55,54,5,2,0,3,0,0,中日,26
岡　田,144,44,40,3,2,0,1,0,0,中日,21
雄　太,144,61,62,6,3,1,0,2,0,中日,17
鈴　木,144,55,53,7,2,0,1,0,4,中日,23
小　川,143,37,45,3,1,2,0,0,0,中日,16
川　崎,143,35,30,3,0,0,1,0,2,中日,51
宋,142,35,30,3,0,0,0,1,2,中日,60
山本昌,141,58,52,4,1,1,0,2,0,中日,34
小林正,135,71,35,8,5,0,0,0,3,中日,69
山　口,154,58,57,7,0,0,3,1,3,DeNA,11
北　方,153,30,53,2,0,0,0,0,2,DeNA,28
国　吉,152,53,67,5,0,0,2,0,3,DeNA,65
江　尻,151,66,54,8,0,2,3,0,3,DeNA,27
福　山,150,45,52,3,0,0,0,2,1,DeNA,45
高　崎,150,69,68,6,0,0,2,1,3,DeNA,22
大　沼,150,33,57,3,0,0,2,0,1,DeNA,13
ハミルトン,150,34,58,3,2,0,0,0,1,DeNA,38
ブランドン,149,40,64,5,2,1,2,0,0,DeNA,52
加　賀,149,68,64,6,0,3,0,0,3,DeNA,16
藤　江,148,55,58,4,0,0,2,0,2,DeNA,19
阿斗里,148,49,60,3,0,0,2,0,1,DeNA,58
小林太,148,49,60,4,0,0,2,0,2,DeNA,14
加賀美,148,40,59,3,0,0,2,0,1,DeNA,21
須　田,148,49,61,4,0,2,0,0,2,DeNA,20
小　杉,147,30,54,3,0,0,0,1,2,DeNA,54
福　田,147,44,55,3,0,0,2,1,0,DeNA,49
安　斉,147,32,56,3,0,0,0,2,1,DeNA,48
王溢正,146,47,54,3,1,0,2,0,0,DeNA,66
小林寛,146,43,62,3,0,0,0,2,1,DeNA,12
菊　地,146,52,48,3,0,0,2,1,0,DeNA,30
清水直,146,57,67,4,1,0,2,0,1,DeNA,17
牛　田,146,50,49,5,0,0,3,2,0,DeNA,35
篠　原,146,60,35,6,3,1,2,0,0,DeNA,34
大原慎,146,57,43,5,3,0,0,2,0,DeNA,41
ジ　オ,145,44,65,4,0,0,3,0,1,DeNA,61
三　浦,145,71,69,6,0,0,2,2,2,DeNA,18
山　本,144,47,68,5,1,0,2,0,2,DeNA,15
佐　村,144,34,50,3,0,0,1,2,0,DeNA,68
佐　藤,143,40,54,3,2,0,0,0,1,DeNA,60
藤　井,142,57,56,4,1,1,2,0,0,DeNA,00
伊　藤,142,33,49,3,0,0,2,0,1,DeNA,67
林,141,48,59,3,1,0,2,0,0,DeNA,24
田　中,141,41,53,2,0,1,1,0,0,DeNA,46
古　村,140,31,49,3,1,2,0,0,0,DeNA,64
眞　下,138,39,58,4,0,2,2,0,0,DeNA,47
